City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Wind deg,Sunrise,Sunset,Visibility,Temp
provideniya,64.3833,-173.3,-13.23,83.0,99.0,7.67,RU,1612034958.0,58.0,1612124222.0,1612149379.0,10000.0,-13.23
inirida,3.8653,-67.9239,93.69,42.0,100.0,2.8,CO,1612034958.0,24.0,1612003582.0,1612046613.0,10000.0,93.69
gannan,47.9147,123.5031,-12.14,89.0,100.0,3.4,CN,1612034959.0,131.0,1612048508.0,1612082612.0,10000.0,-12.14
yulara,-25.2406,130.9889,84.2,37.0,40.0,12.66,AU,1612034960.0,100.0,1612039887.0,1612087639.0,10000.0,84.2
puerto ayora,-0.7393,-90.3518,86.0,66.0,0.0,16.11,EC,1612034960.0,130.0,1612008616.0,1612052346.0,10000.0,83.52
pisco,-13.7,-76.2167,79.0,65.0,0.0,6.91,PE,1612034960.0,270.0,1612004211.0,1612049965.0,10000.0,77.83
jamestown,42.097,-79.2353,26.01,68.0,90.0,3.44,US,1612034692.0,60.0,1612009902.0,1612045723.0,10000.0,25.3
cherskiy,68.75,161.3,-36.9,83.0,16.0,2.3,RU,1612034962.0,169.0,1612046893.0,1612066082.0,10000.0,-36.9
hermanus,-34.4187,19.2345,66.99,83.0,2.0,1.01,ZA,1612034962.0,292.0,1611979301.0,1612029053.0,10000.0,66.99
kapaa,22.0752,-159.319,71.6,94.0,90.0,17.27,US,1612034962.0,50.0,1612026969.0,1612067101.0,10000.0,70.12
punta arenas,-53.15,-70.9167,59.0,51.0,0.0,25.32,CL,1612034963.0,270.0,1611997840.0,1612053792.0,10000.0,59.0
georgetown,5.4112,100.3354,80.01,83.0,20.0,3.44,MY,1612034915.0,50.0,1612049719.0,1612092522.0,8000.0,77.83
hambantota,6.1241,81.1185,75.2,100.0,40.0,3.44,LK,1612034964.0,70.0,1612054385.0,1612097081.0,10000.0,75.2
santa lucia,27.9117,-15.5407,66.0,72.0,20.0,23.02,ES,1612034965.0,20.0,1611993005.0,1612032044.0,10000.0,65.23
bambous virieux,-20.3428,57.7575,79.0,89.0,20.0,5.75,MU,1612034965.0,90.0,1611971480.0,1612018381.0,10000.0,78.89
tiksi,71.6872,128.8694,-26.88,86.0,100.0,5.46,RU,1612034965.0,86.0,1612058064.0,1612070479.0,3345.0,-26.88
mataura,-46.1927,168.8643,48.0,80.0,60.0,8.01,NZ,1612034966.0,220.0,1612028159.0,1612081185.0,10000.0,48.0
fort nelson,58.8053,-122.7002,-18.4,76.0,40.0,1.12,CA,1612034967.0,329.0,1612023712.0,1612052778.0,10000.0,-18.4
vaini,-21.2,-175.2,75.2,94.0,75.0,6.91,TO,1612034967.0,20.0,1612113777.0,1612160735.0,10000.0,75.2
upernavik,72.7868,-56.1549,-9.81,86.0,0.0,8.39,GL,1612034968.0,9.0,1612018892.0,1612025653.0,10000.0,-9.81
rikitea,-23.1203,-134.9692,78.62,77.0,49.0,14.16,PF,1612034968.0,107.0,1612017504.0,1612064876.0,10000.0,78.62
saint-philippe,-21.3585,55.7679,78.8,65.0,0.0,4.61,RE,1612034969.0,80.0,1611971867.0,1612018949.0,10000.0,73.83
tasiilaq,65.6145,-37.6368,17.6,35.0,75.0,18.41,GL,1612034971.0,70.0,1612006172.0,1612029484.0,10000.0,17.6
dikson,73.5069,80.5464,-35.41,82.0,0.0,9.64,RU,1612034972.0,178.0,0.0,0.0,10000.0,-35.41
port alfred,-33.5906,26.891,64.99,89.0,51.0,2.59,ZA,1612034973.0,354.0,1611977559.0,1612027119.0,10000.0,64.99
makakilo city,21.3469,-158.0858,73.4,73.0,75.0,4.61,US,1612034832.0,0.0,1612026610.0,1612066868.0,10000.0,71.58
le port,-20.9373,55.2919,80.6,69.0,20.0,11.5,RE,1612034974.0,140.0,1611972019.0,1612019025.0,10000.0,73.92
ust-kut,56.7938,105.7672,-39.73,77.0,32.0,3.04,RU,1612034975.0,325.0,1612054654.0,1612084980.0,10000.0,-39.73
ancud,-41.8697,-73.8203,68.0,45.0,0.0,6.91,CL,1612034975.0,0.0,1612000669.0,1612052357.0,10000.0,64.76
dingle,10.9995,122.6711,71.4,89.0,100.0,10.71,PH,1612034976.0,9.0,1612044785.0,1612086733.0,10000.0,71.4
port elizabeth,-33.918,25.5701,64.4,94.0,40.0,5.75,ZA,1612034977.0,240.0,1611977838.0,1612027474.0,10000.0,64.4
bluff,-46.6,168.3333,48.0,80.0,97.0,8.01,NZ,1612034978.0,220.0,1612028215.0,1612081383.0,10000.0,48.0
hithadhoo,-0.6,73.0833,82.58,76.0,4.0,14.43,MV,1612034979.0,351.0,1612055808.0,1612099516.0,10000.0,82.58
tuktoyaktuk,69.4541,-133.0374,-36.4,74.0,40.0,0.87,CA,1612034979.0,172.0,1612031829.0,1612049624.0,10000.0,-36.4
tiarei,-17.5333,-149.3333,84.2,65.0,75.0,6.91,PF,1612034980.0,20.0,1612021447.0,1612067829.0,10000.0,84.09
cape town,-33.9258,18.4232,72.0,68.0,20.0,9.22,ZA,1612034918.0,210.0,1611979554.0,1612029190.0,10000.0,69.94
sungaipenuh,-2.0833,101.3833,64.31,94.0,99.0,3.24,ID,1612034981.0,40.0,1612048903.0,1612092835.0,10000.0,64.31
tsalka,41.5946,44.0891,28.24,89.0,6.0,6.93,GE,1612034981.0,242.0,1611980254.0,1612016168.0,10000.0,28.24
coquimbo,-29.9533,-71.3436,66.2,82.0,75.0,13.8,CL,1612034959.0,280.0,1612001553.0,1612050284.0,10000.0,66.2
mount gambier,-37.8333,140.7667,50.0,93.0,2.0,2.73,AU,1612034982.0,152.0,1612036155.0,1612086677.0,10000.0,50.0
maoming,21.65,110.9,60.4,87.0,31.0,8.68,CN,1612034983.0,81.0,1612048474.0,1612088695.0,10000.0,60.4
new norfolk,-42.7826,147.0587,51.01,71.0,22.0,1.01,AU,1612034983.0,278.0,1612033952.0,1612085860.0,10000.0,50.18
cortez,37.3489,-108.5859,37.4,60.0,75.0,9.22,US,1612034983.0,270.0,1612016332.0,1612053383.0,10000.0,33.76
bubaque,11.2833,-15.8333,79.57,66.0,47.0,12.8,GW,1612034984.0,226.0,1611991651.0,1612033537.0,10000.0,79.57
naryan-mar,67.6713,53.087,4.19,94.0,100.0,12.88,RU,1612034984.0,140.0,1611985790.0,1612006313.0,257.0,4.19
maryville,35.7565,-83.9705,37.4,69.0,90.0,4.43,US,1612034985.0,243.0,1612010242.0,1612047657.0,10000.0,35.37
husavik,66.0449,-17.3389,17.6,67.0,90.0,3.44,IS,1612034985.0,0.0,1612001563.0,1612024348.0,10000.0,17.6
eyl,7.9803,49.8164,73.22,76.0,28.0,14.29,SO,1612034986.0,53.0,1611975638.0,1612018035.0,10000.0,73.22
luderitz,-26.6481,15.1594,70.79,53.0,0.0,27.16,NA,1612034994.0,174.0,1611981118.0,1612029192.0,10000.0,70.79
bondeno,44.8862,11.4108,44.01,100.0,75.0,5.75,IT,1612034996.0,30.0,1611988568.0,1612023542.0,4000.0,43.59
talnakh,69.4865,88.3972,-31.13,71.0,0.0,6.04,RU,1612034996.0,128.0,1612064996.0,1612082976.0,10000.0,-31.13
busselton,-33.65,115.3333,64.0,72.0,0.0,1.01,AU,1612034997.0,87.0,1612042772.0,1612092270.0,10000.0,62.91
ventnor city,39.3404,-74.4774,37.0,29.0,1.0,6.91,US,1612034997.0,0.0,1612008396.0,1612044945.0,10000.0,34.48
richards bay,-28.783,32.0377,76.21,82.0,100.0,5.01,ZA,1612034894.0,64.0,1611976849.0,1612025359.0,10000.0,76.21
shubarshi,48.5872,57.1869,18.1,94.0,100.0,6.24,KZ,1612034999.0,47.0,1612064526.0,1612098429.0,10000.0,18.1
iqaluit,63.7506,-68.5145,-7.01,71.0,20.0,18.41,CA,1612035000.0,340.0,1612012607.0,1612037872.0,10000.0,-7.29
greece,43.2098,-77.6931,24.01,73.0,100.0,1.01,US,1612035001.0,287.0,1612009689.0,1612045196.0,9228.0,23.76
ozernovskiy,51.5,156.5167,12.07,95.0,100.0,7.9,RU,1612035001.0,26.0,1612041257.0,1612074014.0,679.0,12.07
parrita,9.5201,-84.3225,80.6,53.0,20.0,20.71,CR,1612035003.0,70.0,1612007951.0,1612050117.0,10000.0,76.08
saint-augustin,51.226,-58.6502,30.52,94.0,87.0,11.36,CA,1612035004.0,334.0,1612006477.0,1612039266.0,10000.0,30.52
mosalsk,54.4881,34.9817,20.39,97.0,100.0,6.38,RU,1612035005.0,187.0,1611984744.0,1612016051.0,4053.0,20.39
avera,33.194,-82.5271,50.0,40.0,1.0,11.5,US,1612035006.0,140.0,1612009611.0,1612047594.0,10000.0,48.38
nouadhibou,20.931,-17.0347,73.4,56.0,66.0,10.36,MR,1612035007.0,340.0,1611992729.0,1612033037.0,7000.0,73.4
souillac,-20.5167,57.5167,78.8,89.0,20.0,5.75,MU,1612035007.0,90.0,1611971522.0,1612018454.0,10000.0,78.8
kodiak,57.79,-152.4072,30.2,59.0,1.0,23.02,US,1612035007.0,300.0,1612030527.0,1612060224.0,10000.0,30.2
victoria,22.2855,114.1577,62.01,76.0,14.0,16.73,HK,1612034866.0,80.0,1612047748.0,1612087858.0,10000.0,59.97
hovd,48.0056,91.6419,9.97,82.0,98.0,0.6,MN,1612035009.0,47.0,1612056163.0,1612090251.0,10000.0,9.97
porto belo,-27.1578,-48.5531,86.0,70.0,0.0,8.05,BR,1612035010.0,270.0,1611996367.0,1612044529.0,10000.0,84.65
praya,14.9215,-23.5087,75.2,57.0,0.0,18.41,CV,1612035010.0,30.0,1611993782.0,1612035091.0,10000.0,75.2
yellowknife,62.456,-114.3525,-11.0,76.0,40.0,4.61,CA,1612035005.0,40.0,1612023018.0,1612049465.0,10000.0,-15.27
esperance,-33.8667,121.9,57.2,88.0,0.0,9.22,AU,1612035011.0,40.0,1612041170.0,1612090719.0,10000.0,57.2
east london,-33.0153,27.9116,71.6,83.0,40.0,5.75,ZA,1612035011.0,240.0,1611977380.0,1612026808.0,10000.0,71.6
albany,42.6001,-73.9662,21.0,46.0,11.0,3.0,US,1612034889.0,302.0,1612008708.0,1612044388.0,10000.0,19.51
port-gentil,-0.7193,8.7815,82.4,83.0,40.0,4.61,GA,1612035012.0,200.0,1611984822.0,1612028550.0,10000.0,82.4
ushuaia,-54.8,-68.3,53.6,58.0,20.0,26.46,AR,1612034739.0,230.0,1611996787.0,1612053588.0,10000.0,53.6
mutsu,41.2894,141.2169,24.8,93.0,75.0,10.36,JP,1612035007.0,240.0,1612043261.0,1612079355.0,3200.0,24.8
hobart,-42.8794,147.3294,51.01,81.0,17.0,3.44,AU,1612034723.0,310.0,1612033872.0,1612085809.0,10000.0,50.05
boca do acre,-8.7522,-67.3978,88.39,64.0,40.0,1.05,BR,1612035014.0,335.0,1612002490.0,1612047453.0,10000.0,88.39
tamandare,-8.7597,-35.1047,80.71,73.0,87.0,8.34,BR,1612035015.0,99.0,1611994737.0,1612039703.0,10000.0,80.71
chapleau,47.8405,-83.4034,15.8,57.0,20.0,3.44,CA,1612035006.0,50.0,1612011784.0,1612045842.0,10000.0,15.8
autazes,-3.5797,-59.1306,88.0,58.0,10.0,4.23,BR,1612035015.0,57.0,1612000905.0,1612045068.0,10000.0,88.0
hilo,19.7297,-155.09,71.6,83.0,90.0,9.22,US,1612035007.0,290.0,1612025753.0,1612066286.0,10000.0,68.02
luangwa,-15.6167,30.4167,74.57,87.0,100.0,0.67,ZM,1612035017.0,96.0,1611978452.0,1612024534.0,10000.0,74.57
nikolskoye,59.7035,30.7861,28.4,93.0,90.0,4.47,RU,1612035017.0,80.0,1611987221.0,1612015588.0,4400.0,27.09
vardo,70.3705,31.1107,24.39,96.0,100.0,21.9,NO,1612035018.0,82.0,1611993579.0,1612009074.0,419.0,24.39
borogontsy,62.6683,131.1683,-43.53,78.0,100.0,2.68,RU,1612035018.0,287.0,1612050530.0,1612076910.0,10000.0,-43.53
soissons,49.3333,3.3333,50.0,89.0,100.0,1.01,FR,1612035019.0,169.0,1611991252.0,1612024736.0,10000.0,49.35
careiro da varzea,-3.2003,-59.8119,82.4,83.0,40.0,2.3,BR,1612035020.0,120.0,1612001098.0,1612045203.0,10000.0,82.4
kathu,7.9178,98.3332,77.0,83.0,20.0,2.3,TH,1612035020.0,0.0,1612050390.0,1612092813.0,10000.0,77.0
narsaq,60.9167,-46.05,41.0,33.0,75.0,37.98,GL,1612035021.0,60.0,1612006056.0,1612033638.0,10000.0,41.0
waingapu,-9.6567,120.2641,78.08,82.0,100.0,16.96,ID,1612035021.0,274.0,1612043791.0,1612088884.0,10000.0,78.08
paamiut,61.994,-49.6678,27.37,88.0,33.0,13.06,GL,1612035022.0,339.0,1612007334.0,1612034097.0,10000.0,27.37
gogrial,8.5332,28.1004,76.28,19.0,2.0,5.84,SS,1612035022.0,358.0,1611980893.0,1612023205.0,10000.0,76.28
evensk,61.95,159.2333,-4.74,82.0,98.0,16.35,RU,1612035023.0,359.0,1612043515.0,1612070452.0,10000.0,-4.74
havre-saint-pierre,50.2334,-63.5986,24.8,58.0,75.0,10.36,CA,1612035023.0,340.0,1612007469.0,1612040650.0,10000.0,24.8
port lincoln,-34.7333,135.8667,59.34,81.0,0.0,11.74,AU,1612035031.0,130.0,1612037714.0,1612087470.0,10000.0,59.34
chuy,-33.6971,-53.4616,79.81,61.0,49.0,14.56,UY,1612035032.0,117.0,1611996845.0,1612046407.0,10000.0,79.81
qaqortoq,60.7167,-46.0333,41.0,33.0,75.0,37.98,GL,1612035032.0,60.0,1612005980.0,1612033707.0,10000.0,41.0
north bend,43.4065,-124.2243,48.2,93.0,90.0,8.3,US,1612035033.0,155.0,1612020876.0,1612056346.0,10000.0,47.28
inta,66.0317,60.1659,-0.9,89.0,100.0,6.87,RU,1612035034.0,139.0,1611982999.0,1612005705.0,10000.0,-0.9
gat,31.61,34.7642,55.0,56.0,0.0,1.99,IL,1612035034.0,134.0,1611981306.0,1612019593.0,10000.0,53.94
guerrero negro,27.9769,-114.0611,64.2,48.0,0.0,15.64,MX,1612035037.0,325.0,1612016648.0,1612055696.0,10000.0,64.2
ribeira grande,38.5167,-28.7,64.4,88.0,20.0,18.41,PT,1612035038.0,240.0,1611997312.0,1612034053.0,9000.0,64.4
qaanaaq,77.484,-69.3632,-9.06,70.0,91.0,1.57,GL,1612035038.0,54.0,0.0,0.0,10000.0,-9.06
avarua,-21.2078,-159.775,82.4,69.0,100.0,2.3,CK,1612035038.0,350.0,1612023634.0,1612070655.0,10000.0,82.4
mackay,-21.15,149.2,78.8,83.0,90.0,17.27,AU,1612035039.0,130.0,1612035891.0,1612082893.0,10000.0,76.5
bethel,41.3712,-73.414,27.0,39.0,1.0,11.5,US,1612035039.0,320.0,1612008406.0,1612044424.0,10000.0,25.5
powell river,49.8496,-124.5361,44.6,81.0,90.0,13.8,CA,1612035040.0,110.0,1612022007.0,1612055365.0,10000.0,43.34
tilichiki,60.4667,166.1,-14.75,90.0,100.0,19.82,RU,1612035041.0,11.0,1612041321.0,1612069350.0,291.0,-14.75
bredasdorp,-34.5322,20.0403,66.99,83.0,5.0,1.01,ZA,1612035041.0,292.0,1611979094.0,1612028873.0,10000.0,66.99
namatanai,-3.6667,152.4333,80.56,78.0,99.0,11.18,PG,1612035042.0,5.0,1612036529.0,1612080702.0,10000.0,80.56
ahuimanu,21.4447,-157.8378,75.2,64.0,40.0,16.11,US,1612035042.0,80.0,1612026559.0,1612066800.0,10000.0,72.28
alofi,-19.0595,-169.9187,77.0,94.0,100.0,5.75,NU,1612035043.0,30.0,1612026258.0,1612072900.0,8459.0,77.0
tchaourou,8.8865,2.5975,81.88,16.0,0.0,4.27,BJ,1612035043.0,18.0,1611987041.0,1612029300.0,10000.0,81.88
tabou,4.423,-7.3528,78.48,87.0,45.0,7.29,CI,1612035044.0,247.0,1611989086.0,1612032031.0,10000.0,78.48
nanortalik,60.1432,-45.2371,32.13,90.0,100.0,8.68,GL,1612035044.0,39.0,1612005587.0,1612033717.0,10000.0,32.13
labuhan,-6.8844,112.2051,77.11,87.0,100.0,8.21,ID,1612035045.0,263.0,1612045940.0,1612090603.0,10000.0,77.11
muisne,0.6,-80.0333,80.6,94.0,75.0,5.75,EC,1612035045.0,360.0,1612006241.0,1612049768.0,10000.0,80.6
viedma,-40.8135,-62.9967,73.0,38.0,36.0,16.82,AR,1612035046.0,100.0,1611998222.0,1612049607.0,10000.0,73.0
lavrentiya,65.5833,-171.0,-19.21,83.0,0.0,6.55,RU,1612035046.0,340.0,1612124283.0,1612148214.0,10000.0,-19.21
waupun,43.6333,-88.7296,33.8,69.0,90.0,18.41,US,1612034907.0,100.0,1612012397.0,1612047786.0,10000.0,31.89
longyearbyen,78.2186,15.6401,-2.2,50.0,20.0,19.57,SJ,1612035047.0,110.0,0.0,0.0,10000.0,-2.2
fairview,40.8126,-73.999,32.0,31.0,1.0,8.05,US,1612035047.0,280.0,1612008472.0,1612044640.0,10000.0,30.94
saint george,37.1041,-113.5841,46.99,81.0,1.0,0.31,US,1612035046.0,126.0,1612017502.0,1612054612.0,10000.0,44.87
bengkulu,-3.8004,102.2655,75.34,88.0,100.0,5.84,ID,1612035048.0,34.0,1612048562.0,1612092753.0,9304.0,75.34
shingu,33.7333,135.9833,42.28,74.0,2.0,8.16,JP,1612035049.0,280.0,1612043612.0,1612081516.0,10000.0,42.28
griffith,41.5284,-87.4237,34.0,64.0,90.0,13.8,US,1612035049.0,130.0,1612011788.0,1612047768.0,10000.0,32.74
ishigaki,24.3448,124.1572,66.15,60.0,83.0,14.45,JP,1612035050.0,105.0,1612045530.0,1612085275.0,10000.0,66.15
uglekamensk,43.2172,133.2303,-10.66,85.0,0.0,5.08,RU,1612035050.0,6.0,1612045443.0,1612081007.0,10000.0,-10.66
lebu,-37.6167,-73.65,62.01,70.0,8.0,11.36,CL,1612035051.0,193.0,1612001215.0,1612051729.0,10000.0,62.01
radcliff,37.8404,-85.9491,42.01,56.0,90.0,9.22,US,1612035052.0,100.0,1612010962.0,1612047886.0,10000.0,41.11
fairbanks,64.8378,-147.7164,-5.01,77.0,90.0,0.98,US,1612034987.0,133.0,1612032109.0,1612056390.0,9656.0,-7.28
kamaishi,39.2667,141.8833,28.2,89.0,30.0,10.38,JP,1612035052.0,272.0,1612042839.0,1612079456.0,10000.0,28.2
san felipe,10.3399,-68.7425,80.01,66.0,32.0,9.82,VE,1612035053.0,44.0,1612004275.0,1612046313.0,10000.0,80.01
saldanha,-33.0117,17.9442,65.3,88.0,0.0,10.6,ZA,1612034794.0,210.0,1611979774.0,1612029199.0,10000.0,65.3
nelson bay,-32.7167,152.15,69.01,100.0,90.0,5.75,AU,1612035054.0,230.0,1612034035.0,1612083332.0,900.0,67.46
sitka,57.0531,-135.33,39.2,60.0,40.0,9.22,US,1612035054.0,100.0,1612026226.0,1612056328.0,10000.0,39.2
catuday,16.2923,119.8062,71.26,71.0,99.0,16.28,PH,1612035055.0,123.0,1612045891.0,1612087003.0,10000.0,71.26
moron,-34.6534,-58.6198,62.6,82.0,90.0,23.02,AR,1612035055.0,120.0,1611997972.0,1612047757.0,4300.0,61.21
rawson,-43.3002,-65.1023,65.41,40.0,3.0,19.84,AR,1612035056.0,112.0,1611998357.0,1612050484.0,10000.0,65.41
lang son,21.8333,106.7333,60.26,79.0,99.0,0.96,VN,1612035063.0,154.0,1612049490.0,1612089680.0,10000.0,60.26
touros,-5.1989,-35.4608,86.0,58.0,20.0,12.66,BR,1612035064.0,170.0,1611995099.0,1612039512.0,10000.0,86.0
lerwick,60.1545,-1.1494,35.6,80.0,75.0,8.05,GB,1612035064.0,340.0,1611995027.0,1612023113.0,10000.0,35.6
baker city,44.7749,-117.8344,42.8,52.0,90.0,14.97,US,1612035064.0,150.0,1612019547.0,1612054608.0,10000.0,37.83
chaplynka,46.3651,33.5403,43.93,86.0,100.0,6.55,UA,1612035065.0,207.0,1611983495.0,1612017992.0,10000.0,43.93
tuatapere,-46.1333,167.6833,48.0,80.0,88.0,8.01,NZ,1612035065.0,220.0,1612028453.0,1612081457.0,10000.0,48.0
castro,-24.7911,-50.0119,69.08,94.0,98.0,5.03,BR,1612035066.0,243.0,1611996948.0,1612044648.0,7046.0,69.08
henties bay,-22.116,14.2845,66.99,84.0,3.0,3.0,NA,1612035066.0,314.0,1611981758.0,1612028972.0,10000.0,66.99
doha,25.2867,51.5333,68.0,64.0,0.0,12.66,QA,1612035067.0,320.0,1611976664.0,1612016184.0,10000.0,67.05
atuona,-9.8,-139.0333,78.93,77.0,13.0,16.55,PF,1612035067.0,101.0,1612019604.0,1612064727.0,10000.0,78.93
nautla,20.2167,-96.7833,78.42,69.0,100.0,17.38,MX,1612035068.0,119.0,1612011803.0,1612052246.0,10000.0,78.42
ottawa,45.4112,-75.6981,16.0,61.0,20.0,9.22,CA,1612035068.0,290.0,1612009539.0,1612044388.0,10000.0,13.21
anuradhapura,8.3565,80.4173,71.85,98.0,21.0,4.52,LK,1612035068.0,35.0,1612054723.0,1612097080.0,10000.0,71.85
ginda,30.6945,78.4932,38.89,48.0,0.0,5.55,IN,1612035069.0,37.0,1612057087.0,1612095640.0,10000.0,38.89
sangar,63.9242,127.4739,-49.52,76.0,86.0,2.06,RU,1612035069.0,293.0,1612051970.0,1612077243.0,7701.0,-49.52
chandler,33.3062,-111.8412,61.0,67.0,1.0,2.84,US,1612035070.0,19.0,1612016656.0,1612054622.0,10000.0,58.14
moncton,46.1159,-64.8019,21.0,49.0,75.0,10.36,CA,1612034858.0,280.0,1612007038.0,1612041658.0,10000.0,20.21
barrow,71.2906,-156.7887,-9.4,77.0,90.0,10.36,US,1612035071.0,350.0,1612039695.0,1612053160.0,9656.0,-9.4
dondo,-19.6094,34.7431,82.4,83.0,20.0,8.05,MZ,1612035071.0,90.0,1611977071.0,1612023838.0,10000.0,82.2
wad rawah,15.1603,33.1397,71.2,21.0,0.0,15.01,SD,1612035072.0,357.0,1611980207.0,1612021471.0,10000.0,71.2
gwadar,25.1216,62.3254,68.14,64.0,0.0,7.61,PK,1612035072.0,257.0,1612060435.0,1612100052.0,10000.0,68.14
cidreira,-30.1811,-50.2056,80.02,84.0,100.0,8.59,BR,1612035073.0,63.0,1611996453.0,1612045236.0,10000.0,80.02
porto novo,6.4965,2.6036,84.2,84.0,20.0,11.5,BJ,1612035074.0,200.0,1611986855.0,1612029482.0,8000.0,84.2
mizdah,31.4451,12.9801,59.97,33.0,0.0,8.48,LY,1612035075.0,245.0,1611986515.0,1612024842.0,10000.0,59.97
te anau,-45.4167,167.7167,49.42,82.0,90.0,1.9,NZ,1612035075.0,349.0,1612028567.0,1612081327.0,10000.0,49.42
lompoc,34.6391,-120.4579,54.0,76.0,1.0,4.68,US,1612034848.0,170.0,1612018868.0,1612056546.0,10000.0,52.95
geraldton,-28.7667,114.6,84.2,24.0,0.0,19.57,AU,1612035077.0,80.0,1612043475.0,1612091918.0,10000.0,84.2
airai,-8.9266,125.4092,62.06,100.0,100.0,5.5,TL,1612035077.0,312.0,1612042612.0,1612087592.0,1670.0,62.06
broome,42.2506,-75.833,21.99,67.0,90.0,11.5,US,1612035078.0,300.0,1612009107.0,1612044885.0,10000.0,19.99
anuchino,43.9622,133.0544,-16.29,86.0,94.0,2.08,RU,1612035078.0,185.0,1612045593.0,1612080942.0,6273.0,-16.29
ippy,6.2679,21.2247,78.69,22.0,2.0,4.34,CF,1612035079.0,21.0,1611982369.0,1612025030.0,10000.0,78.69
kununurra,-15.7667,128.7333,78.8,100.0,40.0,1.14,AU,1612035080.0,50.0,1612041266.0,1612087342.0,4700.0,78.8
nenjiang,49.1833,125.2167,-22.16,86.0,100.0,4.32,CN,1612035080.0,159.0,1612048319.0,1612081977.0,10000.0,-22.16
kangaatsiaq,68.3065,-53.4641,8.15,94.0,92.0,6.67,GL,1612035081.0,141.0,1612011779.0,1612031475.0,1342.0,8.15
dapaong,10.8639,0.205,81.7,15.0,0.0,6.67,TG,1612035082.0,8.0,1611987769.0,1612029720.0,10000.0,81.7
salinopolis,-0.6136,-47.3561,80.1,86.0,100.0,12.41,BR,1612034895.0,76.0,1611998305.0,1612042016.0,10000.0,80.1
atar,20.5169,-13.0499,87.8,12.0,7.0,13.8,MR,1612035082.0,60.0,1611991737.0,1612032115.0,8000.0,87.8
tual,-5.6667,132.75,83.62,75.0,100.0,10.89,ID,1612035083.0,294.0,1612041102.0,1612085579.0,10000.0,83.62
kushiro,42.975,144.3747,19.06,92.0,0.0,10.78,JP,1612035084.0,299.0,1612042736.0,1612078364.0,10000.0,19.06
karratha,-20.7377,116.8463,87.44,52.0,91.0,12.57,AU,1612035067.0,198.0,1612043696.0,1612090619.0,10000.0,87.44
burns lake,54.2331,-125.7533,12.2,79.0,100.0,3.44,CA,1612035084.0,320.0,1612023215.0,1612054742.0,6324.0,12.2
yenangyaung,20.4667,94.8833,62.91,53.0,100.0,0.98,MM,1612035085.0,284.0,1612052217.0,1612092642.0,10000.0,62.91
vondrozo,-22.8167,47.2833,69.62,100.0,69.0,3.27,MG,1612035085.0,51.0,1611973771.0,1612021118.0,10000.0,69.62
ossora,59.2353,163.0719,2.21,92.0,100.0,28.54,RU,1612035086.0,6.0,1612041635.0,1612070489.0,182.0,2.21
manta,-0.95,-80.7333,77.0,94.0,90.0,3.44,EC,1612035007.0,320.0,1612006291.0,1612050053.0,6000.0,77.0
kruisfontein,-34.0033,24.7314,68.0,76.0,1.0,1.63,ZA,1612035087.0,249.0,1611978030.0,1612027685.0,10000.0,68.0
